StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5_1,Q5_2,Q17,Q27,Q18_5,Q29,Q30,Q31,Q32,Q33,Q156,Q155,Q37,Q36,Q35,Q40,Q41,Q42,Q52,Q44,Q45,Q49,Q50,Q51,Q53,Q54,Q55,Q57,Q58,Q59,Q61,Q62,Q63,Q79,Q80,Q81a,Q81b,Q82,Q83,Q160,Q84,Q93,Q94,Q95,Q159,Q96,Q92,Q94,Q95,Q96,Q97,Q99,Q100,Q101,Q102,Q103,Q105,Q106,Q107,Q108,Q109,Q122,Q123,Q124,Q125,Q127,Q126,Q129,Q130,Q131,Q132,Q134,Q135,Q136,Q137,Q138,Q139,Q141,Q142,Q143,Q144,Q134,Q160,Q135,Q118 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,פרטים דמוגרפיים,פרטים דמוגרפיים - גיל,"פרטים דמוגרפיים - שנות ניסיון בתכנות 

(כולל צבא אם רלוונטי)",האם הינך סטודנט בתחום הקשור לתוכנה/מחשב?,לאיזה תואר אתה לומד?,מהי שנת הלימוד שלך לתואר - בחר,האם את מכיר את המשחק?,"דרגת קושי המשחק תלויה בממדי הלוח ובמספר המוקשים בו. כתוב חתימה לפונקציה שמקבלת את הפרמטרים הנ""ל ומחזירה את דרגת הקושי של המשחק.",איך תקרא למשתנה שמחזיק את זמן המשחק?,"נחזיק מבנה נתונים שמתאים לכל משבצת בלוח מספר באופן הבא:​
​• 1- אם המשבצת מכילה מוקש.
• מספר המוקשים במשבצות הצמודות אליה, אחרת.

איזה שם תיתן בקוד שלך למבנה נתונים זה?","מה לדעתך עושה הממשק הבא:

(expose(row, col",Are you familiar with this game?,"The game’s level of difficulty depends on the grid size and the number of mines in it.

Write a function signature for a function which receives the above parameters and returns the level of difficulty of the game.",How would you call the variable which holds the game time?,"We will have a data structure which assigns a number to each square in the board as follows:

• -1 if the square contains a mine

• The number of mines in the adjacent squares otherwise

How will you name this data structure?","What do you think is the function of the following interface:

expose(row, col)",מה לדעתך עושה הממשק?,מה תפקידו של פרמטר hours?,מה תפקידו של פרמטר rate?,ממשו את הממשק.,תנו שם לקבוע 45:,תנו שם למשתנה עבור ערך השכר לשעה בשעות הנוספות:,What do you think the interface does?,What is the purpose of hours parameter?,What is the purpose of rate parameter?,Implement the interface.,Name the constant containing the value 45:,Name the variable for the hourly wage during overtime pay:,איך תקרא למשתנה שמציין היכן הגבינה היום?,איך תקרא למשתנה (או למבנה הנתונים) שעוקב אחרי איפה הוא כבר היה?,איך תקרא למבנה הנתונים שמתאר את המבוך?,How would you call the variable holding the location of the cheese today?,How would you call the variable (or data structure) keeping track of where has he already visited?,How would you call the data structure describing the maze?,How would you call the variable holding the location of the cheese today?,How would you call the variable (or data structure) keeping track of where has he already visited?,How would you call the data structure describing the labyrinth?,How would you name the variable (or data structure) describing the current state of the game board?,"The implementation includes a function make_turn(int row, int col)
What do you think it does?","What is the purpose of the ""row"" parameter?","What is the purpose of the ""col"" parameter?",Playing requires displaying the board to the user. Propose a function signature for this purpose (function name + parameters),How would you name the variable (or data structure) describing the current state of the game grid?,"The implementation includes a function make_turn(int row, int col)
What do you think it does?","What is the purpose of the ""row"" parameter?","What is the purpose of the ""col"" parameter?",Playing requires displaying the grid to the user. Propose a function signature for this purpose (function name + parameters),מה יהיה שם המשתנה (או מבנה הנתונים) שמתאר/מחזיק את מצב לוח המשחק כרגע?,"במימוש יש פונקציה

make_turn(int row, int col)

למה לדעתך היא משמשת?",מה תפקיד של הפרמטר row?,מה תפקיד של הפרמטר col?,כדי לשחק צריך להציג את הלוח למשתמש. הצע חתימה לפונקציה שעושה זאת (שם פונקציה + פרמטרים).,The implementation contains a class which describes a file within the system. How would you name the field describing the file’s size?,"The implementation contains a function arrangeFilesByName(files)

In your opinion, what does it do?",What is the role of the parameter? what is its type?,What do you think it returns?,"The implementation includes a function that receives a file, by how much we want to increase it, and the available space on the disk, and checks whether there is enough space. Suggest a signature for this function.",במימוש יש מחלקה המתארת קובץ במערכת. מה לדעתך יהיה שם השדה המתאר את גודל הקובץ?,"במימוש יש פונקציה
arrangeFilesByName(files)
למה לדעתך היא משמשת?",מה תפקיד הפרמטר? מה טיפוסו?,מה לדעתך היא מחזירה?,"במימוש יש פונקציה שמקבלת קובץ, בכמה רוצים להגדיל אותו, ואת השטח הפנוי בדיסק, ובודקת האם יש מספיק מקום. הצע חתימה לפונקציה הזו.",What does this code do?,Replace var1 with a name you would have used.,Replace var2 with a name you would have used.,Replace var3 with a name you would have used.,How would you call the variable describing the state of the elevator’s door (open/closed)?,"Stav wants to check whether the code was properly corrected. She goes into the elevator on the 0 ground floor and presses all the buttons together. It is expected that the elevator will rise and open at each floor.
Write a pseudo code loop that passes all the floors in ascending order from floor 0 and opens the door on each floor.",מה עושה קטע קוד זה?,החלף var1 בשם בו אתה היית משתמש.,החלף var2 בשם בו אתה היית משתמש.,החלף var3 בשם בו אתה היית משתמש.,איך הייתם קוראים למשתנה שמתאר את מצב הדלת (פתוחה/סגורה)?,"סתיו רוצה לבדוק אם תיקנה כמו שצריך את הקוד. היא נכנסת למעלית בקומה 0 התחתונה ולוחצת על כל הכפתורים יחדיו. הציפיה היא שהמעלית תעלה ותיפתח קומה קומה.

כתבו פסאודו קוד של לולאה שעוברת על כל הקומות בסדר עולה החל מקומה 0 ופותחת את הדלת בכל קומה.",Name the constant holding the value 4 according to its purpose.,Name the constant holding the value 2000 according to its purpose.,Name the variable holding the number of benefits the client is entitled to during the current month.,"When a customer wants to use a benefit, the system executes a function which works as follows:

Input:

   Number of benefits the customer is entitled to during the current month

   Number of benefits the customer has used during the current month

The function calculates the difference, and returns TRUE if the balance is positive.

Write a function signature for this function.",תנו שם לקבוע שמחזיק את המספר 4 בהתאם לתפקידו.,תנו שם לקבוע שמחזיק את המספר 2000 בהתאם לתפקידו.,תנו שם משתנה למספר הפינוקים להם זכאי הלקוח בחודש הנוכחי.,"כאשר משתמש רוצה לנצל פינוק, המערכת מפעילה פונקציה שפועלת כך:

מקבלת:

  כמה פינוקים אותו הלקוח זכאי החודש

  כמה פינוקים אותו הלקוח ניצל החודש

הפונקציה מחשבת את ההפרש. אם היתרה חיובית הפונקציה מחזירה TRUE.

כתבו חתימה לפונקציה הזו.",האם השתמשת במודל בעת מילוי השאלון?,"האם בעת מילוי השאלון השתמשת בכלי עזר כדי לבצע את שלבי המודל (דף,כתבן וכו...)?",האם הרגשת שהמודל עזר לך בבחירת השמות?,Q118 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID17""}","{""ImportId"":""QID33""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID162""}","{""ImportId"":""QID161_TEXT""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID63_TEXT""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID67_TEXT""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID79_TEXT""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""QID81_TEXT""}","{""ImportId"":""QID87_TEXT""}","{""ImportId"":""QID88_TEXT""}","{""ImportId"":""QID89_TEXT""}","{""ImportId"":""QID166_TEXT""}","{""ImportId"":""QID90_TEXT""}","{""ImportId"":""QID93_TEXT""}","{""ImportId"":""QID94_TEXT""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""QID165_TEXT""}","{""ImportId"":""QID96_TEXT""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID100_TEXT""}","{""ImportId"":""QID101_TEXT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID106_TEXT""}","{""ImportId"":""QID107_TEXT""}","{""ImportId"":""QID108_TEXT""}","{""ImportId"":""QID109_TEXT""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""QID112_TEXT""}","{""ImportId"":""QID113_TEXT""}","{""ImportId"":""QID114_TEXT""}","{""ImportId"":""QID115_TEXT""}","{""ImportId"":""QID128_TEXT""}","{""ImportId"":""QID129_TEXT""}","{""ImportId"":""QID130_TEXT""}","{""ImportId"":""QID131_TEXT""}","{""ImportId"":""QID133_TEXT""}","{""ImportId"":""QID132_TEXT""}","{""ImportId"":""QID135_TEXT""}","{""ImportId"":""QID136_TEXT""}","{""ImportId"":""QID137_TEXT""}","{""ImportId"":""QID138_TEXT""}","{""ImportId"":""QID140_TEXT""}","{""ImportId"":""QID141_TEXT""}","{""ImportId"":""QID142_TEXT""}","{""ImportId"":""QID143_TEXT""}","{""ImportId"":""QID144_TEXT""}","{""ImportId"":""QID145_TEXT""}","{""ImportId"":""QID147_TEXT""}","{""ImportId"":""QID148_TEXT""}","{""ImportId"":""QID149_TEXT""}","{""ImportId"":""QID150_TEXT""}","{""ImportId"":""QID179""}","{""ImportId"":""QID205""}","{""ImportId"":""QID180""}","{""ImportId"":""QID124_TEXT_4a0b05be77204c8ba2647788Topics""}"
5/12/2019 1:19,5/12/2019 1:38,IP Address,132.65.39.237,100,1166,TRUE,5/12/2019 1:38,R_1jq4kkR24E0A5Yh,,,,,31.7808075,35.22869873,anonymous,HE,זכר,25,2,כן,תואר ראשון,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מקבל קומה נוכחית וקומת יעד רצויה ומזיז את המעלית בהתאם למעלה\למטה במספר הקומות המתאים.,destination_floor,current_floor,num_floors_to_move,door_status,"לכל קומה מ-קומה 0 עד-קומה אחרונה:
פתח דלת
סגור דלת
עלה קומה",,,,,MAX_BENEFITS_PER_MONTH,AMOUNT_PER_BENEFIT,num_benefits_available,is_available_benefit,כן,,כן,
5/12/2019 2:17,5/12/2019 2:40,IP Address,192.114.91.232,100,1415,TRUE,5/12/2019 2:40,R_3CHmQ8o39cvjaOJ,,,,,31.7808075,35.22869873,anonymous,HE,זכר,29,4,כן,תואר ראשון,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table_current_state,פונקציה המשמשת לביצוע מהלך בתוך המשחק. כלומר לקבוע באיזה מיקום לשים איקס או עיגול,לקבוע את מספר השורה שבה יוצב איקס או עיגול,לקבוע את מספר העמודה שבה יוצב איקס או עיגול,printTable(table_current_state),,,,,,file_size,"משמשת את המחלקה לניהול קבצים, למיין את סדר הופעת הקבצים לפי השם שלהם.","רשימת קבצים שאותה רוצים למיין, סוג מערך של char.","רשימה ממוינת של קבצים לפי השם של הקובץ (לפי הא""ב)","(enlargeFile(file, ,wanted_size, disk_free_space",,,,,door_state,,,,,,,,,,,,,,,,כן,לא,כן,
5/12/2019 2:18,5/12/2019 2:43,IP Address,192.114.91.234,100,1486,TRUE,5/12/2019 2:43,R_dgKcc07lPtxY2qZ,,,,,31.7808075,35.22869873,anonymous,HE,נקבה,23,3,כן,תואר ראשון,4,,,,,,Yes,"getDifficultyLevel(int gridSize, int minesNum)",gameTime,numOfAdjacentSquaresMines,"בודק האם במיקום הספיציפי של row, col יש מוקש",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,file,סידור הקבצים לפי השם שלהם,"רשימת קבצים, רשימה של איברים מסוג קובץ- בעל שם וגודל. את הרשימה צריך למיין.",רשימת קבצים (רשימה של איברים מסוג קובץ) שממוין לפי השם של הקובץ,"checkCapacityForFile( File file, int newSize, int diskCapacity)",,,,,,,,,,,,,maxBenefitsVal,minValueToBenefit,curNumOfBenefits,"bool isBenefitForUser(int monthBenifits, int usedBenefits)",,,,,כן,לא,לא,
5/12/2019 9:20,5/12/2019 9:42,IP Address,185.175.35.202,68,1313,FALSE,5/13/2019 9:42,R_T5Dq2ZLawOiNPy1,,,,,,,anonymous,HE,זכר,27,3,כן,תואר ראשון,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2019 8:20,5/19/2019 8:28,IP Address,132.65.39.243,100,512,TRUE,5/19/2019 8:28,R_1FKh58eyIdJjSdg,,,,,31.7808075,35.22869873,anonymous,HE,זכר,26,1,כן,תואר ראשון,4,כן,calc_game_diffuculty,game_time,game_board,"חושף את המשבצת row,col",,,,,,,,,,,,,,,,,,,,,,,,cheese,already_visited,lanyrinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,max_month_treats,money_per_treat,current_month_treats_num,is_treat_available,כן,לא,כן,
5/19/2019 8:42,5/19/2019 8:52,IP Address,2.55.191.134,100,598,TRUE,5/19/2019 8:52,R_9Z8eg2JPBbPlLMt,,,,,32.06669617,34.76669312,anonymous,HE,זכר,28,2,כן,תואר ראשון,4,,,,,,,,,,,,,,,,,,,,,,,,,,Cheese location,Visited locations,Grid,,,,,,,,,Cur game status,Execute a turn ,To point out the desired row region ,To point out the desired col region ,Display_grid,,,,,,,,,,,,,,,,,,,,,,קובי לאן המעלית צריכה לזוז,Desire floor ,My floor,Num floors to go,Door status,,,,,,,,,,כן,לא,כן,
5/19/2019 8:58,5/19/2019 9:19,IP Address,192.114.91.230,100,1268,TRUE,5/19/2019 9:19,R_VRzKUCvhd3ymA49,,,,,31.7808075,35.22869873,anonymous,HE,זכר,27,4,כן,תואר ראשון,4,,,,,,,,,,,,,,,,,,,,,,,,,,CurCheesLocation,Visited,Maze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Checks if my floor is higher or lower than the elevator’s floor, adjust the direction of the elevator and set the amount of floors to move",myFloor,elevatorCurFloor,FloorsToMove,elevatorState,"While(curFloor<heighestFloor)
Go_up(singelFloor)
",,,,,,,MaxAcumValue,BenefitILStreshold,CurMonthBenefitAmount,Bool checkForBenefitEntitlement,,,,,לא,,לא,
5/20/2019 2:33,5/20/2019 2:52,IP Address,188.64.207.18,100,1105,TRUE,5/20/2019 2:52,R_1GVaInF3PZh8H2v,,,,,32.06669617,34.76669312,anonymous,HE,זכר,25,3,כן,תואר ראשון,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,board_state,playing the next turn,describes which row we want to put our X or O,describes which collum we want to put our X or O,board_display(int [] board_state),,,,,,,,,,,,,,,,file_size,sorting the files by their names,string,List of the files sorted by their names,"increase_file_size(file, int to_increase, int disc_space )",Choose where thw elevator should navigate,curr_floor_level,next_floor_level,difference_between_floors,door_state,"1-for(i=0 until i=n) {
open door
close door
go up 1 level
}
open door
close door",,,,,,,,,,,,,,,כן,לא,כן,
5/20/2019 2:53,5/20/2019 3:03,IP Address,192.114.91.230,100,574,TRUE,5/20/2019 3:03,R_2f3hfWuOm7nAuGa,,,,,31.7808075,35.22869873,anonymous,HE,,27,4,כן,תואר ראשון,4,כן,"Int game_level(int rows, int columns, int mokshim_num)",Game_time,Cube_mokesh,חושף מה יש בתא הספציפי,,,,,,,,,,,,מחזיר את השכר שעובד צריך לקבל,לדעת כמה שעות עבודה,קצב אכילה,Return hours*rate,Full_time_hours,,,,,,,,,,,,,,,,,,,,,Game_board,לשים צורה בתא הספציפי,מספר שורה,מספר עמודה,Display_game(board game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,כן,לא,כן,
5/20/2019 3:05,5/20/2019 3:21,IP Address,132.73.214.35,100,1004,TRUE,5/20/2019 3:21,R_3mklkKJFMZXQzzZ,,,,,31.5,34.75,anonymous,HE,זכר,26,4,כן,תואר ראשון,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,board,"לסימון איקס או עיגול במיקום row, col",מייצג מספר שורה,מייצג מספר עמודה,board_display,size,arrenges the files alphabetically in files data structure,"array, list, something like that. ","void if its a reference, otherwise it returns the new sorted data structure",can_increase_space,,,,,,,,,,,,בודק לפי המיקום הנוכחי והיעד המבוקש לאיזה כיוון וכמה קומות צריך לנוע,destination_floor,current_floor,distance,door_state,"עבור i מ0 עד קומה_אחרונה-1 בצע
       מצב_דלת =1
       מצב_דלת = 0
       עלה(1)
מצב דלת =1
מצב דלת=0
       ",,,,,,,,,כן,לא,לא,
